OBS,facility,has_paper_olda_1,who,selection_1,Teff,logg,micro,ra,dec,source_id,GroupSize_2,O,Ostd,Na,Nastd,Mg,Mgstd,Al,Alstd,Si,Sistd,Ca,Castd,target_id,ScII,ScIIstd,TiI,TiIstd,TiII,TiIIstd,V,Vstd,Cr,Crstd,Mn,Mnstd,Fe,Festd,FeII,FeIIstd,Co,Costd,Ni,Nistd,Cu,Custd,Zn,Znstd,Sr,Srstd,Y,Ystd,Zr,Zrstd,Ba,Bastd,La,Lastd,Ce,Cestd,Pr,Prstd,Nd,Ndstd,Sm,Smstd,Eu,Eustd,main_id_2,Strut,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ruwe,phot_g_mean_mag,phot_g_mean_mag_error
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4606,2.36,1.62,261.61071145884364,28.702445241934928,4598598089142562560,,0.6100000143051147,0.18000000715255737,0.46,0.01,0.5799999833106995,0.07,0.5899999737739563,0.06,0.3199999928474426,0.08,0.26,0.07,BD+28_2741,0.37,0.1,0.41999998688697815,0.12,0.3499999940395355,0.15,0.3,0.14,0.08,0.17,-0.14000000059604645,0.1,-0.61,0.16,-0.7,0.15,0.23,0.13,0.06,0.14,0.07000000029802322,0.0,-0.1899999976158142,0.0,-0.5299999713897705,0,0.05,0.05,0.18,0.02,-0.28999999165534973,0.05,0.1899999976158142,0.04,0.20000000298023224,0.12,0.1899999976158142,0.04,0.32,0.09,0.34,0.06,0.57,0.0,BD+28  2741,T,261.61044149063,0.0079,28.70224263902,0.0092,2.646,0.0111,238.1779,70.12,-53.279,0.01,-45.586,0.012,31,,,1.033,8.850589,0.002758
TNGs,TNG2020,,Trieste group,mince2,4458,1.54,1.65,169.4044456477,12.4027681014,3964145447160775680,0,0.28200000524520874,0.06390000134706497,0.39500001072883606,0.0166,0.3659999966621399,0.0,0.35499998927116394,0.0523,0.20100000500679016,0.0803,0.24500000476837158,0.0855,BD+132383,0.2240000069141388,0.1546,0.2160000056028366,0.0809,0.2240000069141388,0.1326,0.0989999994635582,0.1163,0.027000000700354576,0.1551,-0.16200000047683716,0.1356,-0.626,0.1463,-0.659,0.0816,0.11999999731779099,0.128,0.006000000052154064,0.1527,-0.04500000178813934,0.0,-0.31700000166893005,0.0,-0.29600000381469727,0,-0.028999999165534973,0.0863,0.17299999296665192,0.0268,0.3409999907016754,0.0,0.25099998712539673,0.082,0.20800000429153442,0.1016,0.1720000058412552,0.0363,0.21699999272823334,0.1478,0.21199999749660492,0.027,0.3230000138282776,0.0,BD+13  2383,D,169.40441654702,0.0193,12.40277686769,0.0216,1.2417,0.0316,39.338199615478516,6.761,-6.399,0.023,2.183,0.023,31,,,0.993,8.551532,0.002771
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4867,2.33,1.45,249.82646299533147,10.276297735645507,4446837103365630848,,0.6399999856948853,0.0,-0.16,0.03,0.36000001430511475,0.09,0.10000000149011612,0.0,0.18000000715255737,0.07,0.33,0.08,TYC_965-56-1,0.18,0.1,0.25999999046325684,0.08,0.30000001192092896,0.09,-0.01,0.05,0.03,0.06,-0.3499999940395355,0.05,-1.14,0.1,-1.13,0.08,0.0,0.11,-0.05,0.13,-0.5199999809265137,0.1,-0.05999999865889549,0.01,-0.35600000619888306,0,-0.2,0.04,0.15,0.0,0.07999999821186066,0.09,0.15000000596046448,0.08,0.11999999731779099,0.01,0.10000000149011612,0.06,0.15,0.1,0.36,0.07,0.59,0.0,TYC  965-56-1,G,249.82638209997,0.0103,10.27586018161,0.0072,1.1959,0.0136,88.0228,100.065,-17.909,0.012,-98.45,0.009,31,,,0.979,10.224023,0.002758
NOT_Lapo,NOT_Lapo1,,Trieste group,mince2,5109,2.4,1.77,155.78896022743888,4.479954875948254,3860276679628980992,,0.8500000238418579,0.17000000178813934,0.16,0.07,0.4699999988079071,0.04,0.3400000035762787,0.11,0.38999998569488525,0.14,0.33,0.1,TYC_249-1043-1,0.16,0.07,0.3400000035762787,0.09,0.3799999952316284,0.1,0.06,0.09,-0.03,0.05,-0.3100000023841858,0.09,-1.04,0.11,-1.0,0.1,0.17,0.06,0.07,0.11,-0.15000000596046448,0.08,0.10000000149011612,0.07,-0.11999999731779099,0,-0.12,0.11,0.14,0.0,0.09000000357627869,0.07,0.05999999865889549,0.03,0.019999999552965164,0.11,0.019999999552965164,0.0,0.14,0.13,0.21,0.11,0.5,0.0,TYC 249-1043-1,H,155.78892872483,0.0186,4.47970820198,0.0138,1.3136,0.0213,61.6541,55.95,-7.066,0.019,-55.502,0.017,31,,,1.115,9.848755,0.002763
TNGs,TNG2020,,Trieste group,mince2,4746,1.89,1.62,151.7927212325,3.6897952641,3836930646157055744,0,0.36800000071525574,0.0,0.6179999709129333,0.0569,0.4309999942779541,0.0,0.4169999957084656,0.0,0.2160000056028366,0.0603,0.257999986410141,0.1003,HD87740,0.28700000047683716,0.1214,0.22699999809265137,0.0926,0.24899999797344208,0.1255,0.10000000149011612,0.1442,0.06199999898672104,0.1213,-0.11999999731779099,0.0933,-0.592,0.1303,-0.698,0.113,0.13500000536441803,0.1564,0.0689999982714653,0.1196,-0.04699999839067459,0.1086,-0.2529999911785126,0.0,-0.2709999978542328,0,-0.10499999672174454,0.0849,0.10100000351667404,0.2108,0.19099999964237213,0.0,0.11900000274181366,0.0932,0.23399999737739563,0.096,0.1340000033378601,0.0293,0.210999995470047,0.1357,0.2759999930858612,0.0514,0.42500001192092896,0.0,HD  87740,D,151.79276168284,0.0225,3.68976256094,0.0272,1.5606,0.0228,68.42459869384766,11.385,9.099,0.025,-6.844,0.032,31,,,1.019,8.569717,0.002762
TNGs,TNG 42_done,,Trieste group,mince2,4626,1.57,1.79,176.79537683548733,50.78552811651626,791246023761262080,,0.6600000262260437,0.019999999552965164,-0.1,0.02,0.4000000059604645,0.11,-9.989999771118164,0.0,0.3799999952316284,0.03,0.4,0.07,HD233868,0.31,0.07,0.33000001311302185,0.06,0.36000001430511475,0.09,0.04,0.11,-0.05,0.06,-0.4300000071525574,0.06,-1.87,0.11,-1.8,0.09,0.2,0.07,0.04,0.11,-0.6200000047683716,0.05,-0.0,0.02,-0.38999998569488525,0,-0.33,0.04,0.06,0.09,-0.14000000059604645,0.06,-0.05000000074505806,0.08,-0.029999999329447746,0.07,-0.03999999910593033,0.03,0.08,0.06,0.22,0.05,0.31,0.03,HD 233868,G,176.79500502293,0.0068,50.78544335989,0.009,0.7626,0.0124,61.663,56.224,-52.891,0.009,-19.07,0.012,31,,,1.061,9.406249,0.00276
TNGs,TNG2020,,Trieste group,mince2,4725,2.41,1.34,233.5890532054,23.2101650786,1220704579692724864,0,0.17100000381469727,0.0,0.42399999499320984,0.0187,0.3100000023841858,0.0,0.23399999737739563,0.0491,0.10000000149011612,0.0602,0.2680000066757202,0.1181,HD138934,0.2630000114440918,0.0977,0.18400000035762787,0.1058,0.17000000178813934,0.1255,0.11100000143051147,0.056,0.06700000166893005,0.1658,-0.017999999225139618,0.1673,-0.224,0.1623,-0.317,0.1532,0.041999999433755875,0.1633,0.028999999165534973,0.1395,-0.0729999989271164,0.0,-0.35600000619888306,0.0,-0.2409999966621399,0,0.039000000804662704,0.1051,0.0430000014603138,0.0,0.36899998784065247,0.0,0.14499999582767487,0.1101,0.10700000077486038,0.1833,0.07500000298023224,0.0631,0.13899999856948853,0.1271,0.1679999977350235,0.0237,0.2930000126361847,0.0,HD 138934,D,233.58907820652,0.0701,23.21012340456,0.078,3.8766,0.1131,34.28630065917969,12.138,3.084,0.092,-11.739,0.08,31,,,5.438,8.017671,0.002759
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4524,2.1,1.56,320.74030166816283,14.991053633374555,1783455933823136384,,0.49000000953674316,0.0,0.42,0.09,0.6399999856948853,0.07,0.6399999856948853,0.04,0.38999998569488525,0.13,0.34,0.1,TYC_1118-386-1,0.45,0.1,0.4099999964237213,0.15,0.38999998569488525,0.11,0.27,0.14,0.06,0.14,-0.20999999344348907,0.12,-0.82,0.16,-0.84,0.14,0.23,0.14,0.05,0.16,-0.0,0.03,-0.10999999940395355,0.0,-0.5600000023841858,0,-0.08,0.03,0.03,0.34,-0.2199999988079071,0.02,0.15000000596046448,0.09,-0.029999999329447746,0.16,0.15000000596046448,0.0,0.24,0.14,0.29,0.1,0.63,0.0,TYC 1118-386-1,TT,320.74016154542,0.0121,14.99099086587,0.0153,1.8646,0.0153,121.9161,33.57,-30.455,0.014,-14.123,0.015,31,,,1.008,9.130979,0.002759
NOT_Lapo,NOT_Lapo1,,Trieste group,mince2,4076,1.01,1.55,128.22974501906074,-2.79736903429281,3072648774976292992,,0.41999998688697815,0.10000000149011612,0.2,0.1,0.4399999976158142,0.07,0.25,0.09,0.3700000047683716,0.1,0.18,0.08,BD-02_2610,0.15,0.1,0.23999999463558197,0.12,0.23000000417232513,0.12,0.04,0.11,0.02,0.13,-0.30000001192092896,0.08,-1.01,0.14,-0.92,0.12,0.05,0.13,-0.0,0.16,-0.1899999976158142,0.03,-0.14000000059604645,0.07,-0.41999998688697815,0,-0.15,0.12,0.03,0.0,0.10999999940395355,0.0,0.03999999910593033,0.04,-0.03999999910593033,0.12,-0.0,0.12,0.12,0.16,0.13,0.16,0.47,0.0,BD-02  2610,H,128.22973115501,0.0147,-2.79741674531,0.0099,0.5473,0.0204,26.8876,11.178,-3.116,0.02,-10.735,0.017,31,,,1.059,9.550324,0.002779
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4397,2.07,1.6,338.71256451652073,29.465148906911637,1888222040284685056,,0.1599999964237213,0.18000000715255737,0.21,0.0,0.33000001311302185,0.02,0.30000001192092896,0.1,0.10000000149011612,0.13,0.13,0.11,HD_213993,0.2,0.12,0.1599999964237213,0.13,0.11999999731779099,0.14,0.07,0.14,0.1,0.14,-0.03999999910593033,0.09,-0.43,0.14,-0.52,0.15,-0.04,0.13,-0.05,0.15,-0.10999999940395355,0.0,-0.49000000953674316,0.0,0.11999999731779099,0,0.45,0.19,-0.01,0.0,0.5699999928474426,0.0,0.38999998569488525,0.07,0.25999999046325684,0.15,0.3100000023841858,0.03,0.31,0.08,0.26,0.06,0.33,0.0,HD 213993,T,338.71270816503,0.0108,29.46513500756,0.0166,2.7009,0.0205,131.9239,28.314,28.14,0.014,-3.127,0.021,31,,,1.07,8.322977,0.002758
